                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.50079,                 0.2442,                0.87871,                0.97211,                0.95381,                0.97667,                0.79427,                0.81011,                0.33806,                  1.026,               0.001189,               0.001189,               0.001189
                     91,                0.48117,                0.23469,                0.87228,                0.97461,                0.95147,                0.97643,                0.79479,                0.80832,                0.33973,                 1.0245,                0.00109,                0.00109,                0.00109
                     92,                0.46907,                0.23025,                0.86998,                0.96905,                0.95514,                0.97706,                 0.7975,                0.80346,                0.34012,                 1.0232,               0.000991,               0.000991,               0.000991
                     93,                 0.4662,                0.22675,                0.86848,                 0.9669,                0.95733,                0.97604,                0.79793,                0.80491,                0.34061,                 1.0265,               0.000892,               0.000892,               0.000892
                     94,                0.46194,                0.22705,                0.86772,                0.96364,                0.95494,                0.97474,                0.79454,                0.80719,                0.34187,                 1.0272,               0.000793,               0.000793,               0.000793
                     95,                0.45294,                0.22387,                0.86238,                0.96669,                0.95272,                0.97523,                 0.7959,                 0.8081,                0.34333,                 1.0278,               0.000694,               0.000694,               0.000694
                     96,                 0.4515,                0.22392,                0.85937,                0.96206,                0.95561,                0.97449,                0.79489,                0.80537,                0.34674,                  1.026,               0.000595,               0.000595,               0.000595
                     97,                0.44273,                0.21892,                0.85666,                0.95579,                0.95854,                0.97468,                0.79421,                0.81284,                 0.3476,                 1.0306,               0.000496,               0.000496,               0.000496
                     98,                0.43911,                  0.218,                0.85645,                0.96692,                0.95245,                0.97666,                0.79559,                0.81071,                 0.3437,                 1.0305,               0.000397,               0.000397,               0.000397
                     99,                0.43895,                0.21836,                0.85861,                0.96978,                0.94931,                0.97695,                0.79721,                0.80851,                0.34303,                 1.0288,               0.000298,               0.000298,               0.000298
